"Time (s)","X (hPa)"
2.103739273E2,1.011772995E3
2.114500123E2,1.011772995E3
2.125260843E2,1.011770859E3
2.136021763E2,1.011770859E3
2.146782453E2,1.011772842E3
2.157542963E2,1.011772842E3
2.168303843E2,1.011764832E3
2.179064713E2,1.011761398E3
2.189825813E2,1.011760788E3
2.200586063E2,1.011760788E3
2.211347053E2,1.011760788E3
2.222107653E2,1.011762466E3
2.232868753E2,1.011765442E3
2.243629623E2,1.011765442E3
2.254390173E2,1.011763916E3
2.265150713E2,1.011758881E3
2.275911503E2,1.011754684E3
2.286672683E2,1.011753006E3
2.297433793E2,1.011753006E3
2.308194463E2,1.011764526E3
2.318955563E2,1.011769028E3
2.329716453E2,1.011770096E3
2.340477073E2,1.011780319E3
2.351237143E2,1.011780319E3
2.361997553E2,1.011779709E3
2.372757983E2,1.011779709E3
2.383518563E2,1.011785049E3
2.418347650E2,1.011781387E3
2.428435440E2,1.011786728E3
2.438523110E2,1.011788177E3
2.448610680E2,1.011792068E3
2.458698990E2,1.011788177E3
2.462173280E2,1.011786652E3
2.472933750E2,1.011786652E3
2.483694280E2,1.011786652E3
2.494454720E2,1.011777039E3
2.505215460E2,1.011777039E3
2.515976180E2,1.011778259E3
2.526736620E2,1.011778259E3
2.537497000E2,1.011774216E3
2.548257640E2,1.011774216E3
2.559017570E2,1.011785202E3
2.569777580E2,1.011785202E3
2.580537740E2,1.011785202E3
2.591297750E2,1.011782532E3
2.602058220E2,1.011782532E3
2.612819400E2,1.011785812E3
2.623580440E2,1.011794662E3
2.634341420E2,1.011795197E3
2.645102370E2,1.011795578E3
2.655863390E2,1.011795578E3
2.666624360E2,1.011794510E3
2.677384610E2,1.011786728E3
2.688144710E2,1.011786728E3
2.698904700E2,1.011789169E3
2.709664970E2,1.011796341E3
2.720425150E2,1.011796341E3
2.731185060E2,1.011794434E3
2.741944980E2,1.011789246E3
2.752704970E2,1.011789246E3
2.763465370E2,1.011789246E3
2.774225590E2,1.011785202E3
2.784986710E2,1.011785202E3
2.795747110E2,1.011789246E3
2.806507230E2,1.011790695E3
2.817267370E2,1.011790695E3
2.828027100E2,1.011788940E3
2.838787370E2,1.011788559E3
2.849547710E2,1.011786880E3
2.860307950E2,1.011783524E3
2.871068300E2,1.011774445E3
2.881828820E2,1.011772003E3
2.892589350E2,1.011771774E3
2.903349470E2,1.011771317E3
2.914109110E2,1.011767120E3
2.924868810E2,1.011762238E3
2.935628950E2,1.011762009E3
2.946388940E2,1.011759949E3
2.957148480E2,1.011759262E3
2.967908430E2,1.011759262E3
2.978668210E2,1.011761398E3
2.989428280E2,1.011761398E3
