"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.301136400E1,2.360505676E1,2.071675873E1,-3.732150269E1
2.302141300E1,2.370546722E1,2.073761749E1,-3.759687042E1
2.303146300E1,2.369538116E1,2.073125458E1,-3.763843155E1
2.304151300E1,2.358690643E1,2.071690369E1,-3.760046387E1
2.305156300E1,2.362210846E1,2.059011078E1,-3.764755630E1
2.306161200E1,2.377129364E1,2.053373718E1,-3.764316559E1
2.307166200E1,2.362432861E1,2.060781097E1,-3.774002838E1
2.308171200E1,2.358693695E1,2.061336517E1,-3.776378632E1
2.309176200E1,2.357714844E1,2.065976715E1,-3.779188919E1
2.310181100E1,2.363057709E1,2.064549255E1,-3.781832504E1
2.311186100E1,2.350803375E1,2.073021698E1,-3.782143784E1
2.312191100E1,2.333290863E1,2.080181122E1,-3.782382202E1
2.313196100E1,2.348280334E1,2.081496429E1,-3.781375885E1
2.314201000E1,2.347438049E1,2.087745667E1,-3.771886063E1
2.315206000E1,2.341904449E1,2.091321564E1,-3.771863937E1
2.316211000E1,2.341374207E1,2.097175598E1,-3.768154907E1
2.317216000E1,2.342726898E1,2.095881653E1,-3.774618149E1
2.318220900E1,2.333154297E1,2.091084290E1,-3.780961609E1
2.319225900E1,2.341355133E1,2.073785400E1,-3.779130936E1
2.320230900E1,2.355429077E1,2.071668243E1,-3.776185608E1
2.321235900E1,2.358394623E1,2.085494232E1,-3.776778412E1
2.322240800E1,2.349984741E1,2.080540466E1,-3.764850998E1
2.323245800E1,2.345632172E1,2.091815186E1,-3.771547318E1
2.324250800E1,2.345533752E1,2.093385315E1,-3.785045624E1
2.325255800E1,2.343530273E1,2.099494171E1,-3.788870239E1
2.326260700E1,2.330033112E1,2.085286713E1,-3.776311493E1
2.327265700E1,2.335790253E1,2.096423340E1,-3.743051910E1
2.328270700E1,2.327255249E1,2.101686859E1,-3.742800522E1
2.329275700E1,2.329967499E1,2.102933502E1,-3.736795807E1
2.330280600E1,2.343148804E1,2.096492004E1,-3.746121979E1
2.331285600E1,2.330195618E1,2.096559906E1,-3.761666870E1
2.332290600E1,2.336423492E1,2.101537323E1,-3.761693192E1
2.333295600E1,2.330656433E1,2.091455078E1,-3.761347961E1
2.334300500E1,2.335194397E1,2.088974762E1,-3.762255096E1
2.335305500E1,2.337072754E1,2.086451721E1,-3.769151306E1
2.336310500E1,2.334912109E1,2.082789612E1,-3.764169312E1
2.337315500E1,2.332655334E1,2.082196045E1,-3.769881439E1
2.338320400E1,2.326889038E1,2.093387604E1,-3.742010117E1
2.339325400E1,2.326730347E1,2.105700684E1,-3.742695999E1
2.340330463E1,2.328849792E1,2.112326050E1,-3.750733185E1
2.341335463E1,2.333878326E1,2.110993958E1,-3.758842087E1
2.342340363E1,2.334699249E1,2.109119415E1,-3.760815811E1
2.343345363E1,2.337334442E1,2.098043823E1,-3.751423645E1
2.344350362E1,2.325006104E1,2.098177338E1,-3.741613388E1
2.345355363E1,2.331980896E1,2.097787476E1,-3.754928970E1
2.346360263E1,2.330744934E1,2.086074066E1,-3.760859299E1
2.347365263E1,2.337638092E1,2.073627472E1,-3.764405060E1
2.348370263E1,2.351965332E1,2.057187653E1,-3.762586975E1
2.349375262E1,2.354973602E1,2.053064728E1,-3.752819443E1
2.350380163E1,2.371183014E1,2.043047333E1,-3.734342194E1
2.351385163E1,2.385690308E1,2.037252045E1,-3.729426193E1
2.352390163E1,2.401949310E1,2.030368042E1,-3.720911026E1
2.353395163E1,2.438609314E1,2.017905426E1,-3.714043427E1
2.354400062E1,2.478985596E1,2.003497314E1,-3.704087448E1
2.355405062E1,2.519360352E1,1.971858978E1,-3.688769150E1
2.356410063E1,2.574851227E1,1.936508942E1,-3.671654129E1
2.357415063E1,2.631600952E1,1.904805756E1,-3.640924454E1
