time,X (rad/s),Y (rad/s),Z (rad/s),label
2570.0,-0.24823121889012648,0.06355311580923799,0.22973361263809197,highfive
2570.5,-0.22177927519817464,0.06659466659019972,0.2324565934337077,highfive
2571.0,-0.19554461512470037,0.0704237108697161,0.23156255579873578,highfive
2571.5,-0.16985516637257045,0.0748626284576946,0.22717102868890074,highfive
2572.0,-0.14498804379768704,0.07964641517574836,0.21959442656957298,highfive
2572.5,-0.12120951325525402,0.08443044543351995,0.20931716448435825,highfive
2573.0,-0.09881496767899943,0.0888063621361417,0.19696220474522214,highfive
2573.5,-0.07816339352282022,0.09232574578580911,0.18324713671946066,highfive
2574.0,-0.05970127988086404,0.0945305085912668,0.16893301281325893,highfive
2574.5,-0.0439718237838582,0.09498829045162582,0.1547700095988775,highfive
2575.0,-0.03160658412290626,0.0933305543223495,0.14144443552372304,highfive
2575.5,-0.023298381482289438,0.08929063592649457,0.12953159841326725,highfive
2576.0,-0.01975614408900703,0.08273873726421628,0.1194585693223996,highfive
2576.5,-0.021644428934895328,0.07371079630962182,0.11147998600300188,highfive
2577.0,-0.029512325683168278,0.06242833710623027,0.10566883158090855,highfive
2577.5,-0.04371817022955866,0.04930681214417779,0.10192273869615853,highfive
2578.0,-0.06435773466848396,0.03495058346129233,0.09998495774695963,highfive
2578.5,-0.09120411913698426,0.020133523780031654,0.09947783580246054,highfive
2579.0,-0.12366729746235791,0.005765209813801125,0.09994560296783005,highfive
2579.5,-0.16078009201430996,-0.007156233683246596,0.10090254288914066,highfive
2580.0,-0.20121530496794365,-0.017602471105466255,0.1018822798018501,highfive
2580.5,-0.24333595588429358,-0.024581254005828643,0.10248395134274262,highfive
2581.0,-0.2852773174496913,-0.027206546665069473,0.10241142421354968,highfive
2581.5,-0.3250560359520479,-0.024767653402857727,0.10150239192415045,highfive
2582.0,-0.3606984550770644,-0.016792124920634015,0.09974509634273465,highfive
2582.5,-0.3903777208716172,-0.0030971858630786248,0.09728145552417553,highfive
2583.0,-0.41254767591164015,0.016175196221374453,0.09439647619419868,highfive
2583.5,-0.4260611976936195,0.04054366086123246,0.091494901468534,highfive
2584.0,-0.43026160580100764,0.06919602760253521,0.0890670215022584,highfive
2584.5,-0.42503799604156295,0.10102225060995566,0.08764639477372227,highfive
2585.0,-0.4108386356050719,0.13467097757063723,0.08776283913131441,highfive
2585.5,-0.38864051312689585,0.16862685845957406,0.08989441483061629,highfive
2586.0,-0.3598773358752853,0.201303725223147,0.09442221025572584,highfive
2586.5,-0.3263322319215446,0.23114701185481332,0.10159154424899255,highfive
2587.0,-0.2900047138228574,0.25673752693763147,0.11148272457524411,highfive
2587.5,-0.25296374807363514,0.2768881182213605,0.12399377788108334,highfive
2588.0,-0.21719983485573116,0.29072500896088466,0.13883664146980804,highfive
2588.5,-0.18448876409084322,0.29774667606236616,0.15554725002168493,highfive
2589.0,-0.1562782485630029,0.2978550115451556,0.17350884594739382,highfive
2589.5,-0.13360614000099869,0.29135598562701326,0.19198678516090306,highfive
2590.0,-0.11705570081699142,0.2789298471686371,0.2101721966505231,highfive
2590.5,-0.1067497808607627,0.26157373610927187,0.22723117090387282,highfive
2591.0,-0.10238210143994889,0.24052211473301804,0.24235576514712584,highfive
2591.5,-0.10328052703354006,0.21715236094343707,0.2548130583585123,highfive
2592.0,-0.10849451061351784,0.19288399819849447,0.26398876523199666,highfive
2592.5,-0.11689706333664049,0.16908026153380173,0.26942248679977143,highfive
2593.0,-0.12729076941917894,0.14696003134130736,0.2708324642088824,highfive
2593.5,-0.13850759213288286,0.12752672732550094,0.26812861653717895,highfive
2594.0,-0.14949344783667357,0.11151874871842617,0.261413580757001,highfive
2594.5,-0.15937061762350913,0.09938372856382688,0.2509723366553948,highfive
2595.0,-0.16747379343802485,0.09127651005364183,0.2372517172389379,highfive
2595.5,-0.17335862731899138,0.08707860389948455,0.22083163114747117,highfive
2596.0,-0.17678474258917615,0.08643515507774292,0.20239014549222512,highfive
2596.5,-0.17767794433582865,0.08880427941317283,0.18266471168792692,highfive
2597.0,-0.17607853419252123,0.09351309763292658,0.16241179982443416,highfive
2597.5,-0.17208395638473395,0.09981489639448467,0.14236708444835985,highfive
2598.0,-0.16579433588641126,0.10694251597465633,0.12320813955479397,highfive
2598.5,-0.15726878405021427,0.11415418204388636,0.10552138524274915,highfive
