time,X (µT),Y (µT),Z (µT),label
66.0,-29.69898379925177,-25.794344041488223,-9.176841070126706,handshake
66.5,-29.84863280308004,-25.877765432163546,-9.181955346804106,handshake
67.0,-30.00754793958411,-25.93056854375442,-9.227698032407888,handshake
67.5,-30.15971588308777,-25.950672852957965,-9.31574327314025,handshake
68.0,-30.29194642331338,-25.934283939151875,-9.444985861885844,handshake
68.5,-30.394168673070432,-25.876575175506503,-9.611378647467685,handshake
69.0,-30.45958782571589,-25.772505936454525,-9.80810588049897,handshake
69.5,-30.484768892395923,-25.61769113326355,-10.02609679951812,handshake
70.0,-30.469698944029236,-25.409243663234303,-10.254841677416845,handshake
70.5,-30.417852929486337,-25.146524658997873,-10.483432159741147,handshake
71.0,-30.336254972395253,-24.83175296221226,-10.701713743052455,handshake
71.5,-30.23549310315917,-24.470441679881507,-10.901414892392337,handshake
72.0,-30.129616899716634,-24.071643195655195,-11.077107880173706,handshake
72.5,-30.035830171455824,-23.64799279466707,-11.22686293946325,handshake
73.0,-29.973888942740384,-23.21554463074341,-11.352480194636456,handshake
73.5,-29.965130881870238,-22.793393036474846,-11.459221808822692,handshake
74.0,-30.031095868459733,-22.40306930660494,-11.555016962612294,handshake
74.5,-30.191745962477206,-22.067702069480944,-11.64917027500667,handshake
75.0,-30.463351672972593,-21.810931455286127,-11.750664581932279,handshake
75.5,-30.856173332676992,-21.65557631613468,-11.866205411246124,handshake
76.0,-31.372123671527067,-21.622071524656743,-11.998200732677793,handshake
76.5,-32.00264223949945,-21.72671904583215,-12.142899815621375,handshake
77.0,-32.72703679291936,-21.979830304590486,-12.28892462063914,handshake
77.5,-33.511545434161775,-22.383874702020837,-12.416413097815553,handshake
78.0,-34.30934295134326,-22.93178470221799,-12.496955227903042,handshake
78.5,-35.061655248119685,-23.60559546993007,-12.494441209841149,handshake
79.0,-35.70006010908998,-24.375610210515998,-12.366860956294795,handshake
79.5,-36.149947201493795,-25.200275637946962,-12.069001414768445,handshake
80.0,-36.3349944063296,-26.026921714608644,-11.555891490203258,handshake
80.5,-36.18240262999491,-26.793464996246335,-10.786753047759973,handshake
81.0,-35.62852953095361,-27.4310978430886,-9.729140544700725,handshake
81.5,-34.62448621620113,-27.867892091814156,-8.362900589258842,handshake
82.0,-33.14122039680501,-28.03314429932262,-6.68356380415965,handshake
82.5,-31.173612239455526,-27.86219149125592,-4.704799772371765,handshake
83.0,-28.74315859534619,-27.30134375535769,-2.4596230449206056,handshake
83.5,-25.898915934118317,-26.312524937680713,-0.0001316074470414045,handshake
84.0,-22.716505538714227,-24.87719503912213,2.6043179871708833,handshake
84.5,-19.295144940580244,-22.99915397601454,5.2704531325240165,handshake
85.0,-15.752842028562485,-20.70589758903276,7.905753251762939,handshake
85.5,-12.22005535374919,-18.04830899413259,10.414115496983847,handshake
86.0,-8.83226820822043,-15.098611836207764,12.702080068643227,handshake
91.5,-5.722029270371645,-11.946672288823164,14.685106223096213,handshake
92.0,-3.0110670592666433,-8.694896228023389,16.293367598395267,handshake
92.5,-0.8030826990444971,-5.452108536375017,17.476565627418132,handshake
93.0,0.8222344258965053,-2.3269062507337805,18.207340548325007,handshake
93.5,1.8135340981631192,0.5789664742369197,18.482982939090803,handshake
94.0,2.150190657843308,3.1766728061143543,18.32530187284653,handshake
94.5,1.8426320733923467,5.395273181472683,17.77867244569195,handshake
95.0,0.9306727542352768,7.185261036117973,16.906448022632198,handshake
95.5,-0.5199300236371815,8.520396009832934,15.78606441184989,handshake
96.0,-2.4223463573528115,9.397748987931209,14.503270451418773,handshake
96.5,-4.674532054649058,9.83603946298063,13.145982585263694,handshake
97.0,-7.16559427386694,9.872497822029967,11.798275447970438,handshake
97.5,-9.782188005734982,9.558608169202179,10.534987114587066,handshake
98.0,-12.414512647657098,8.955169948928324,9.417342224768605,handshake
98.5,-14.96155584976555,8.12715260553045,8.489888310452098,handshake
99.0,-17.33533036469565,7.138805756570783,7.77891260098629,handshake
99.5,-19.463956451431212,6.04943189711993,7.292371713152482,handshake
