"Time (s)","X (hPa)"
1.696181838E2,1.011676178E3
1.706942648E2,1.011676178E3
1.717702798E2,1.011678467E3
1.728463018E2,1.011680984E3
1.739223428E2,1.011680984E3
1.749984068E2,1.011675491E3
1.760744858E2,1.011672592E3
1.771505808E2,1.011670303E3
1.782266088E2,1.011668396E3
1.793026118E2,1.011668396E3
1.803786148E2,1.011668396E3
1.814546068E2,1.011665192E3
1.825306388E2,1.011658096E3
1.836066308E2,1.011654434E3
1.846826398E2,1.011653824E3
1.857586258E2,1.011653442E3
1.868346248E2,1.011653442E3
1.879106628E2,1.011653442E3
1.889866838E2,1.011648636E3
1.900627478E2,1.011639938E3
1.911388038E2,1.011626740E3
1.922148268E2,1.011621399E3
1.932908458E2,1.011619797E3
1.943668498E2,1.011619797E3
1.954428858E2,1.011630936E3
1.965189538E2,1.011639328E3
1.975950148E2,1.011645279E3
1.986710708E2,1.011646652E3
1.997471518E2,1.011651306E3
2.008231918E2,1.011658020E3
2.018992498E2,1.011668015E3
2.029752758E2,1.011674118E3
2.040513028E2,1.011678467E3
2.051273688E2,1.011678467E3
2.062034158E2,1.011677475E3
2.072794628E2,1.011670456E3
2.083555108E2,1.011670456E3
2.094315638E2,1.011669998E3
2.105076038E2,1.011671371E3
2.115836368E2,1.011675491E3
2.126596778E2,1.011675491E3
2.137357978E2,1.011675568E3
2.148118838E2,1.011671906E3
2.158878938E2,1.011672211E3
2.169639258E2,1.011670837E3
2.180399718E2,1.011672211E3
2.215492138E2,1.011701279E3
2.225579778E2,1.011705933E3
2.235667428E2,1.011703796E3
2.245754988E2,1.011705399E3
2.255842578E2,1.011705399E3
2.259316858E2,1.011705399E3
2.270077118E2,1.011698227E3
2.280837708E2,1.011691742E3
2.291598168E2,1.011691284E3
2.302358918E2,1.011691284E3
2.313119598E2,1.011691284E3
2.323880378E2,1.011698837E3
2.334640868E2,1.011698837E3
2.345401698E2,1.011691971E3
2.356162608E2,1.011683121E3
2.366922648E2,1.011673279E3
2.377682998E2,1.011673279E3
2.388442958E2,1.011673279E3
2.399203058E2,1.011685410E3
2.409963068E2,1.011692123E3
2.420722948E2,1.011697845E3
2.431483038E2,1.011697845E3
2.442242858E2,1.011682892E3
2.453002318E2,1.011667099E3
2.463762098E2,1.011666718E3
2.474522328E2,1.011666718E3
2.485282418E2,1.011673431E3
2.496042478E2,1.011676559E3
2.506802368E2,1.011679993E3
2.517562228E2,1.011679993E3
2.528322318E2,1.011674042E3
2.539082858E2,1.011674042E3
2.549842948E2,1.011674042E3
2.560603528E2,1.011677170E3
2.571364148E2,1.011677170E3
2.582124668E2,1.011671143E3
2.592885038E2,1.011671143E3
2.603644938E2,1.011683044E3
2.614405118E2,1.011686249E3
2.625165448E2,1.011691132E3
2.635925738E2,1.011699677E3
2.646686198E2,1.011699677E3
2.657446928E2,1.011692429E3
2.668207448E2,1.011680603E3
2.678968108E2,1.011676407E3
2.689728808E2,1.011670074E3
2.700489708E2,1.011668625E3
2.711250058E2,1.011668625E3
2.722010498E2,1.011683960E3
2.732770728E2,1.011688843E3
2.743530918E2,1.011690063E3
