"Time (s)","X (hPa)"
1.486882260E2,1.011417389E3
1.497640350E2,1.011415787E3
1.508398390E2,1.011415787E3
1.519156610E2,1.011408539E3
1.529915350E2,1.011408539E3
1.540674040E2,1.011410522E3
1.551432750E2,1.011410522E3
1.562191160E2,1.011408997E3
1.572949900E2,1.011408997E3
1.583708490E2,1.011414948E3
1.594466450E2,1.011415787E3
1.605225020E2,1.011421814E3
1.615983850E2,1.011438751E3
1.626742190E2,1.011438751E3
1.637500550E2,1.011438904E3
1.648258970E2,1.011438904E3
1.659017100E2,1.011440201E3
1.669775150E2,1.011440201E3
1.680533170E2,1.011420593E3
1.691291290E2,1.011420593E3
1.702049380E2,1.011426315E3
1.712807210E2,1.011426315E3
1.723564990E2,1.011427307E3
1.734322300E2,1.011446533E3
1.745079830E2,1.011447067E3
1.755837650E2,1.011447067E3
1.766595960E2,1.011447067E3
1.777354260E2,1.011453400E3
1.812438097E2,1.011483231E3
1.822523467E2,1.011483154E3
1.832608807E2,1.011483154E3
1.842694117E2,1.011482391E3
1.852779507E2,1.011460953E3
1.856256547E2,1.011460419E3
1.867014437E2,1.011454086E3
1.877772357E2,1.011454086E3
1.888530037E2,1.011453629E3
1.899287517E2,1.011453629E3
1.910044787E2,1.011453629E3
1.920802367E2,1.011447983E3
1.931560317E2,1.011447983E3
1.942317877E2,1.011446533E3
1.953075647E2,1.011446533E3
1.963833247E2,1.011434708E3
1.974591477E2,1.011434708E3
1.985349677E2,1.011437912E3
1.996107957E2,1.011437912E3
2.006866447E2,1.011437225E3
2.017624707E2,1.011437225E3
2.028383087E2,1.011441803E3
2.039141357E2,1.011441803E3
2.049899687E2,1.011434021E3
2.060657747E2,1.011429367E3
2.071416257E2,1.011434021E3
2.082174887E2,1.011435318E3
2.092933447E2,1.011442108E3
2.103692217E2,1.011437073E3
2.114450477E2,1.011437073E3
2.125208807E2,1.011427536E3
2.135967607E2,1.011426849E3
2.146726007E2,1.011410446E3
2.157483737E2,1.011408386E3
2.168241137E2,1.011410446E3
2.178998997E2,1.011420975E3
2.189756587E2,1.011430511E3
2.200514737E2,1.011437225E3
2.211272797E2,1.011437454E3
2.222030767E2,1.011447754E3
2.232789037E2,1.011447754E3
2.243546947E2,1.011441269E3
2.254305327E2,1.011441193E3
2.265064297E2,1.011441193E3
2.275823067E2,1.011441193E3
2.286581167E2,1.011441193E3
2.297339757E2,1.011441879E3
2.308097607E2,1.011447601E3
2.318855437E2,1.011447601E3
2.329613877E2,1.011444550E3
2.340372107E2,1.011444550E3
2.351130147E2,1.011444550E3
2.361888317E2,1.011434631E3
2.372646817E2,1.011434631E3
2.383405027E2,1.011444550E3
2.418047751E2,1.011432037E3
2.428133631E2,1.011432800E3
2.438220001E2,1.011432037E3
2.448305941E2,1.011431656E3
2.458392091E2,1.011397095E3
2.461868181E2,1.011397095E3
2.472626651E2,1.011400375E3
2.483385051E2,1.011400375E3
2.494143681E2,1.011396637E3
2.504902131E2,1.011396637E3
2.515661041E2,1.011396637E3
2.526419531E2,1.011391907E3
2.537178371E2,1.011391907E3
2.547937181E2,1.011396179E3
2.558696141E2,1.011398468E3
2.569454681E2,1.011398544E3
2.580213291E2,1.011404114E3
2.590972071E2,1.011415176E3
2.601731411E2,1.011423721E3
2.612490301E2,1.011426010E3
2.623249581E2,1.011429672E3
2.634008751E2,1.011438065E3
2.644768211E2,1.011438065E3
2.655528061E2,1.011438065E3
2.666287231E2,1.011443176E3
2.677046491E2,1.011443176E3
2.687806051E2,1.011434021E3
2.698564711E2,1.011426926E3
2.709323971E2,1.011421661E3
2.720083081E2,1.011417847E3
2.730842031E2,1.011405792E3
2.741600921E2,1.011405792E3
2.752360061E2,1.011406250E3
2.763119181E2,1.011406250E3
2.773878441E2,1.011406250E3
2.784637991E2,1.011408386E3
2.795397541E2,1.011408386E3
2.806156921E2,1.011403275E3
2.816915941E2,1.011394653E3
2.827675161E2,1.011394653E3
2.838433911E2,1.011398010E3
2.849192621E2,1.011401443E3
2.859951141E2,1.011407318E3
2.870709791E2,1.011427917E3
2.881468641E2,1.011428833E3
2.892227691E2,1.011428833E3
2.902986951E2,1.011428833E3
2.913746031E2,1.011430740E3
2.924505341E2,1.011430740E3
2.935264591E2,1.011426926E3
2.946024151E2,1.011426926E3
2.956783501E2,1.011426926E3
2.967542251E2,1.011424332E3
2.978301031E2,1.011424332E3
2.989059961E2,1.011425400E3
