"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.535767250E0,-2.710509300E0,3.925246000E0,1.149525642E1
1.545751250E0,-3.896925926E0,4.989851952E0,1.225856495E1
1.555734250E0,-5.095378876E0,5.715480804E0,1.279029846E1
1.565718250E0,-6.136000633E0,5.939651966E0,1.299505424E1
1.575702250E0,-6.839150906E0,5.120388031E0,1.259811115E1
1.585685250E0,-7.047825813E0,2.647884369E0,1.136853886E1
1.595669250E0,-6.524837971E0,-9.617809653E-1,9.211127281E0
1.605653250E0,-5.240335941E0,-3.732988834E0,6.163579941E0
1.615636250E0,-3.843937397E0,-3.839580774E0,2.709446430E0
1.625620250E0,-2.948120832E0,-2.073196888E0,-2.796775997E-1
1.635604250E0,-2.687658072E0,-6.017569900E-1,-2.392479658E0
1.645587250E0,-2.271679163E0,-5.341257453E-1,-3.341779232E0
1.655571250E0,-1.213907719E0,-7.787976265E-1,-3.524310589E0
1.665555250E0,5.256650969E-2,-5.113272667E-1,-3.309126854E0
1.675538250E0,9.887684584E-1,3.483404219E-1,-2.970942497E0
1.685522250E0,1.519686103E0,1.613494992E0,-2.683138847E0
1.695505250E0,1.871434212E0,2.851210833E0,-2.568003178E0
1.705489250E0,2.299735069E0,3.648372412E0,-2.677733183E0
1.715473250E0,2.900715113E0,3.781798601E0,-3.062347889E0
1.725456250E0,3.642230988E0,3.375139236E0,-3.652970552E0
1.735440250E0,4.450398922E0,2.796112299E0,-4.473617077E0
1.745424250E0,5.195892811E0,2.316165209E0,-5.338603020E0
1.755407250E0,5.982120037E0,2.197713852E0,-6.094643593E0
1.765391250E0,6.640114784E0,2.096121311E0,-6.906073570E0
1.775375250E0,6.861532211E0,2.021978378E0,-7.974825382E0
1.785358250E0,6.817301273E0,1.614434123E0,-9.162143707E0
1.795342250E0,6.611424923E0,1.304555535E-1,-1.031097031E1
1.805325250E0,6.259631634E0,-2.265695810E0,-1.106867790E1
