"Time (s)","X (hPa)"
1.074541901E2,1.011963348E3
1.085302901E2,1.011970520E3
1.096063741E2,1.011980743E3
1.106824401E2,1.011985016E3
1.117584681E2,1.011987762E3
1.128344731E2,1.011990509E3
1.139105111E2,1.011990509E3
1.149865961E2,1.011989822E3
1.160626891E2,1.011989822E3
1.171387671E2,1.011991043E3
1.206299318E2,1.011940308E3
1.216387588E2,1.011941147E3
1.226475868E2,1.011941681E3
1.236563968E2,1.011941681E3
1.246652258E2,1.011935425E3
1.250125758E2,1.011933899E3
1.260887558E2,1.011930847E3
1.271649288E2,1.011929779E3
1.282411018E2,1.011928177E3
1.293172418E2,1.011928177E3
1.303933828E2,1.011930923E3
1.314695058E2,1.011931686E3
1.325456188E2,1.011934891E3
1.336217528E2,1.011939545E3
1.346979108E2,1.011939545E3
1.357740298E2,1.011941833E3
1.368500818E2,1.011941833E3
1.379261668E2,1.011941833E3
1.390022438E2,1.011939926E3
1.400783248E2,1.011939926E3
1.411543698E2,1.011941452E3
1.422304368E2,1.011941452E3
1.433064928E2,1.011941147E3
1.443825688E2,1.011940155E3
1.454585768E2,1.011938629E3
1.465345818E2,1.011937866E3
1.476105758E2,1.011935043E3
1.486865998E2,1.011935043E3
1.497626588E2,1.011935577E3
1.508387548E2,1.011935577E3
1.519148088E2,1.011936951E3
1.529908318E2,1.011940308E3
1.540668448E2,1.011940308E3
1.551428848E2,1.011940002E3
1.562188988E2,1.011936722E3
1.572949148E2,1.011933594E3
1.583709288E2,1.011926498E3
1.594469798E2,1.011925507E3
1.605229898E2,1.011924744E3
1.615990128E2,1.011923752E3
1.626750498E2,1.011923752E3
1.637511088E2,1.011923752E3
1.648271558E2,1.011919937E3
1.659032338E2,1.011911545E3
1.669792758E2,1.011909256E3
1.680553928E2,1.011909256E3
1.691315008E2,1.011912994E3
1.702076628E2,1.011915512E3
1.712837298E2,1.011924820E3
1.723597718E2,1.011930313E3
1.734358008E2,1.011930313E3
1.745118238E2,1.011926880E3
1.755878358E2,1.011923141E3
1.766638088E2,1.011914291E3
1.777398098E2,1.011911926E3
1.812007435E2,1.011843719E3
1.822095475E2,1.011849365E3
1.832183595E2,1.011855011E3
1.842271985E2,1.011863861E3
1.852360015E2,1.011865387E3
1.855833685E2,1.011865387E3
1.866594765E2,1.011864929E3
1.877355255E2,1.011863556E3
1.888115515E2,1.011859741E3
1.898876145E2,1.011857834E3
1.909636965E2,1.011857834E3
1.920397615E2,1.011857834E3
1.931157645E2,1.011858902E3
1.941917635E2,1.011858902E3
1.952678085E2,1.011861877E3
1.963438875E2,1.011861877E3
1.974200175E2,1.011859970E3
1.984960975E2,1.011859283E3
1.995721745E2,1.011856613E3
2.006482385E2,1.011849442E3
2.017243595E2,1.011848145E3
2.028004895E2,1.011845779E3
2.038765605E2,1.011845474E3
2.049526635E2,1.011845474E3
2.060287695E2,1.011845779E3
2.071048685E2,1.011848297E3
2.081809715E2,1.011848831E3
2.092570715E2,1.011848831E3
2.103331305E2,1.011854630E3
2.114091935E2,1.011860123E3
2.124852525E2,1.011861801E3
2.135613245E2,1.011865005E3
2.146373955E2,1.011866684E3
2.157134955E2,1.011866684E3
2.167895715E2,1.011862411E3
2.178656415E2,1.011862411E3
2.189417285E2,1.011862640E3
2.200177845E2,1.011862640E3
2.210938715E2,1.011862640E3
2.221699455E2,1.011863708E3
2.232460505E2,1.011868134E3
2.243221495E2,1.011868515E3
2.253982965E2,1.011868820E3
2.264743635E2,1.011877213E3
2.275504395E2,1.011877213E3
2.286265305E2,1.011879272E3
2.297026395E2,1.011880951E3
2.307787365E2,1.011893768E3
2.318548585E2,1.011899338E3
2.329309085E2,1.011903687E3
2.340069835E2,1.011912613E3
2.350831135E2,1.011912613E3
2.361591935E2,1.011908569E3
2.372353195E2,1.011908569E3
2.383114705E2,1.011909256E3
