"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.509248833E0,-2.232693195E0,-1.699351788E0,5.061608315E0
1.519232833E0,-1.352598071E0,1.349811196E0,3.416120052E0
1.529216833E0,-6.319173574E-1,4.266464233E0,1.332109332E0
1.539200833E0,1.381632835E-1,5.125903130E0,5.442849360E-3
1.549183833E0,8.775318861E-1,4.105407238E0,-6.689201593E-1
1.559167833E0,1.373390794E0,2.477346420E0,-1.578650832E0
1.569151833E0,1.564797282E0,9.779778123E-1,-2.623892784E0
1.579135833E0,1.552825809E0,-2.770838886E-2,-3.516025305E0
1.589119833E0,1.505756855E0,-3.997935355E-1,-4.238509178E0
1.599102833E0,1.457219839E0,-3.645402789E-1,-4.776952744E0
1.609086833E0,1.449022651E0,-1.855891794E-1,-5.093135357E0
1.619070833E0,1.571368217E0,4.378354177E-2,-5.235890865E0
1.629054833E0,1.824999452E0,3.280448318E-1,-5.307549953E0
1.639037833E0,2.119264841E0,5.641563535E-1,-5.370866776E0
1.649021833E0,2.375481129E0,7.102984190E-1,-5.431417465E0
1.659005833E0,2.554321766E0,7.603516579E-1,-5.510051727E0
1.668989833E0,2.634300470E0,7.285812497E-1,-5.604293823E0
1.678972833E0,2.607131720E0,6.739425063E-1,-5.710775375E0
1.688956833E0,2.460469484E0,5.203852057E-1,-5.786412239E0
1.698940833E0,2.232971907E0,2.037516832E-1,-5.791252613E0
1.708924833E0,1.968988061E0,-2.469414473E-1,-5.691986561E0
1.718908833E0,1.721106052E0,-7.186400294E-1,-5.508513927E0
1.728891833E0,1.489819288E0,-1.154749513E0,-5.244063377E0
1.738875708E0,1.261635423E0,-1.569340706E0,-4.908421993E0
1.748859708E0,1.024770141E0,-1.951194525E0,-4.541660786E0
1.758843708E0,7.946196795E-1,-2.249298811E0,-4.165404797E0
1.768826708E0,6.001607180E-1,-2.521713734E0,-3.801001310E0
1.778810708E0,4.708055258E-1,-2.810056210E0,-3.476388693E0
1.788794708E0,4.015087485E-1,-3.114675999E0,-3.183397532E0
1.798778708E0,3.919695914E-1,-3.433852434E0,-2.922503710E0
1.808762708E0,4.474658668E-1,-3.771991730E0,-2.645901680E0
1.818745708E0,5.164182782E-1,-4.057733536E0,-2.281434774E0
1.828729708E0,5.721678734E-1,-4.085304737E0,-1.806611419E0
1.838713708E0,5.965492129E-1,-3.715214252E0,-1.197137594E0
1.848697708E0,5.521961451E-1,-2.946400642E0,-4.439319968E-1
1.858680708E0,4.328397810E-1,-1.849652529E0,4.803291261E-1
1.868664708E0,2.403640896E-1,-5.655524135E-1,1.596141458E0
1.878648708E0,-4.787645768E-3,6.220165491E-1,2.795228720E0
1.888632708E0,-2.357284576E-1,1.494019270E0,3.860063314E0
1.898616708E0,-3.941354454E-1,1.976898789E0,4.741601944E0
1.908599708E0,-5.019292831E-1,2.119703531E0,5.482662678E0
1.918583708E0,-5.539824367E-1,1.984298468E0,6.022687435E0
1.928567708E0,-4.783497751E-1,1.623492599E0,6.405202389E0
1.938551708E0,-2.454445213E-1,1.197632551E0,6.678738594E0
1.948534708E0,8.285080642E-2,8.297805786E-1,6.883546352E0
1.958518708E0,4.394963980E-1,5.469023585E-1,7.056841373E0
1.968502708E0,7.273343205E-1,5.135555863E-1,7.259646416E0
1.978486708E0,8.256339431E-1,8.903737664E-1,7.502598763E0
1.988469708E0,5.645413995E-1,1.497703910E0,7.686769962E0
1.998453708E0,-1.457525641E-1,1.661861658E0,7.782334328E0
2.008437708E0,-1.093937159E0,1.046356440E0,7.791182995E0
2.018421708E0,-1.833902121E0,-1.906438321E-1,7.775407314E0
2.028405708E0,-2.066564083E0,-1.535517216E0,7.756845474E0
2.038388708E0,-1.775546908E0,-2.318151474E0,7.704920292E0
2.048372708E0,-1.262659669E0,-1.847307444E0,7.496199608E0
2.058356708E0,-7.925819159E-1,6.170495600E-2,6.640510559E0
2.068340708E0,-4.010926783E-1,2.894351244E0,4.841235161E0
2.078323708E0,6.860891730E-2,5.180196762E0,2.653588295E0
2.088307708E0,6.762440205E-1,5.944892406E0,5.005394220E-1
2.098291708E0,1.159506679E0,4.497812748E0,-1.006857991E0
2.108275708E0,1.345307112E0,2.298957348E0,-2.366297960E0
2.118259708E0,1.278083563E0,3.833564222E-1,-3.570699453E0
2.128242708E0,1.050443769E0,-7.205401063E-1,-4.494756222E0
2.138226708E0,7.735728621E-1,-9.331336021E-1,-5.182795048E0
2.148210708E0,5.690029263E-1,-6.006726027E-1,-5.602479458E0
2.158194708E0,5.403085947E-1,-7.009873167E-3,-5.857746601E0
2.168177708E0,7.074650526E-1,5.853533149E-1,-5.992741108E0
2.178161708E0,1.006812692E0,1.030045271E0,-6.043259621E0
2.188145708E0,1.324669480E0,1.315462589E0,-6.067902565E0
2.198129708E0,1.560911894E0,1.418620586E0,-6.055491924E0
2.208113708E0,1.688145161E0,1.384388566E0,-5.990231991E0
2.218096708E0,1.740746856E0,1.259056807E0,-5.886981487E0
2.228080708E0,1.732160807E0,1.086419702E0,-5.748185158E0
2.238064708E0,1.659425616E0,8.698774576E-1,-5.627443314E0
2.248048708E0,1.521109819E0,6.092879176E-1,-5.532142639E0
2.258031708E0,1.344743848E0,3.113964796E-1,-5.449756145E0
2.268015708E0,1.158648610E0,-1.533203060E-3,-5.373046398E0
2.277999708E0,9.568276405E-1,-3.427507877E-1,-5.270893097E0
