"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.329182000E0,-8.688622713E-1,-2.766413093E-1,6.362931132E-1
1.339165000E0,-3.730410635E-1,-1.460942745E0,5.503117442E-1
1.349149000E0,1.062869355E-1,-2.326301098E0,5.061343908E-1
1.359133000E0,3.915663362E-1,-2.609482288E0,3.448903263E-1
1.369116000E0,3.541281521E-1,-2.207668066E0,1.697147787E-1
1.379100000E0,1.957172900E-2,-1.362480521E0,2.106366456E-1
1.389084000E0,-5.059208274E-1,-4.494408369E-1,3.717589676E-1
1.399067000E0,-8.190339804E-1,8.393147588E-2,4.910528958E-1
1.409051000E0,-8.357285261E-1,2.210352570E-1,5.080087185E-1
1.419034000E0,-7.666078210E-1,9.092781693E-2,3.530973494E-1
1.429018000E0,-6.979760528E-1,-4.123931229E-1,-9.131074697E-2
1.439002000E0,-5.008366108E-1,-1.167112470E0,-8.122053742E-1
1.448985000E0,-7.435717434E-2,-1.815094709E0,-1.489734650E0
1.458969000E0,4.568638206E-1,-2.160002708E0,-1.879959106E0
1.468952000E0,9.944260716E-1,-2.193521500E0,-1.968643188E0
1.478936000E0,1.511169434E0,-2.003792286E0,-1.820681214E0
1.488920000E0,1.902051091E0,-1.764073253E0,-1.460116029E0
1.498903000E0,2.086099863E0,-1.488622069E0,-9.488649964E-1
1.508887000E0,2.025213003E0,-1.219245434E0,-4.154636562E-1
1.518870000E0,1.751396418E0,-9.766664505E-1,5.707199499E-2
1.528854000E0,1.401529193E0,-8.209500909E-1,4.790722430E-1
1.538838000E0,1.068777442E0,-6.901579499E-1,7.257056236E-1
1.548821000E0,7.102851868E-1,-6.241347194E-1,7.674802542E-1
1.558805000E0,3.211121559E-1,-5.130460858E-1,6.704550385E-1
1.568789000E0,-5.057778582E-2,-3.878996074E-1,4.783108830E-1
1.578772000E0,-2.993247807E-1,-3.710061014E-1,2.462277859E-1
1.588756000E0,-3.966404200E-1,-4.253796041E-1,-3.090421902E-3
1.598739000E0,-4.283999205E-1,-5.174612403E-1,-2.377016544E-1
1.608723000E0,-4.513867199E-1,-6.042432785E-1,-4.222555161E-1
1.618707000E0,-4.785904586E-1,-6.335575581E-1,-5.395187736E-1
1.628690000E0,-5.076551437E-1,-6.019338369E-1,-5.777263641E-1
1.638674000E0,-5.322578549E-1,-4.933667481E-1,-5.575041771E-1
