"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.565390333E0,1.759005070E0,-2.226452529E-2,4.960708916E-1
2.575373333E0,-1.948025584E0,-1.252529144E0,8.478796482E-2
2.585357333E0,-2.098167419E0,-1.189102530E0,1.380437165E-1
2.595340333E0,-1.394448638E0,-5.554500222E-1,7.564841211E-2
2.605323333E0,-8.318964392E-2,-3.214900568E-2,1.687887460E-1
2.615306333E0,9.768822789E-1,2.238579094E-1,3.551029861E-1
2.625290333E0,1.582814693E0,3.647433817E-1,4.165892601E-1
2.635273333E0,1.845794320E0,3.800278604E-1,3.812727630E-1
2.645256333E0,1.300400496E0,-4.059814811E-1,3.765187263E-1
2.655239333E0,8.997060359E-2,-1.264321923E0,2.664561570E-1
2.665223333E0,-9.787319303E-1,-1.341916084E0,-1.118184552E-1
2.675206333E0,-1.474885941E0,-1.095225811E0,-3.132128716E-1
2.685189333E0,-1.590731859E0,-7.991207242E-1,-2.944719493E-1
2.695173333E0,-1.632231951E0,-4.482739866E-1,-2.218602747E-1
2.705156333E0,-1.678529859E0,-2.931562960E-1,-1.863712668E-1
2.715139333E0,-1.662354946E0,-2.533216178E-1,-1.711968333E-1
2.725122333E0,-1.572199225E0,-2.372065485E-1,-1.839088947E-1
2.735106333E0,-1.460029364E0,-2.669214308E-1,-2.341753393E-1
2.745089333E0,-1.378568053E0,-3.228344917E-1,-3.137990534E-1
2.755072333E0,-1.324799657E0,-3.805688620E-1,-3.841158152E-1
2.765055333E0,-1.261119485E0,-4.470919669E-1,-4.333832264E-1
2.775039333E0,-1.172236800E0,-5.125771165E-1,-4.767753482E-1
2.785022333E0,-1.086197615E0,-5.660075545E-1,-5.016948581E-1
2.795005333E0,-1.006665707E0,-5.792873502E-1,-5.085917711E-1
2.804988333E0,-9.535534978E-1,-4.824787676E-1,-4.815558791E-1
2.814972333E0,-9.070318937E-1,-2.633484602E-1,-4.305968583E-1
2.824955333E0,-8.664346337E-1,2.791401185E-2,-3.694533706E-1
2.834938333E0,-8.511913419E-1,3.750065267E-1,-3.001970053E-1
2.844921333E0,-8.403160572E-1,7.501747608E-1,-2.268690020E-1
2.854905333E0,-8.403955698E-1,1.048409224E0,-1.367306858E-1
2.864888333E0,-8.220251203E-1,1.269346595E0,-5.087996647E-2
2.874871333E0,-7.661053538E-1,1.401865244E0,1.303102635E-2
2.884855333E0,-6.845191121E-1,1.419584036E0,5.744802579E-2
2.894838458E0,-5.743444562E-1,1.285933018E0,7.316847146E-2
2.904821458E0,-4.264053106E-1,1.033509612E0,4.331470653E-2
2.914804458E0,-2.614808083E-1,6.983199120E-1,-1.268179342E-2
2.924788458E0,-9.851370752E-2,2.704141140E-1,-7.353129983E-2
2.934771458E0,5.474659801E-2,-1.907147914E-1,-1.226637214E-1
2.944754458E0,1.824664772E-1,-5.763769746E-1,-1.265945435E-1
2.954737458E0,2.753264606E-1,-8.274457455E-1,-7.153963298E-2
2.964721458E0,3.495993614E-1,-9.418396950E-1,2.975982800E-2
2.974704458E0,4.070424438E-1,-9.327859879E-1,1.509827226E-1
2.984687458E0,4.401559234E-1,-8.387913108E-1,2.850353420E-1
2.994670458E0,4.832359552E-1,-6.784151196E-1,4.282214046E-1
3.004654458E0,5.439440608E-1,-4.857662916E-1,5.774681568E-1
3.014637458E0,6.210308671E-1,-2.994768023E-1,7.108393908E-1
3.024620458E0,7.411609888E-1,-9.120508283E-2,8.095638752E-1
3.034603458E0,9.152930379E-1,1.521962285E-1,8.895087242E-1
3.044587458E0,1.121768355E0,3.957862556E-1,9.698989391E-1
3.054570458E0,1.393229961E0,6.163325310E-1,1.060924649E0
3.064553458E0,1.746158957E0,8.025077581E-1,1.156997561E0
3.074536458E0,2.140852213E0,9.359038472E-1,1.231429696E0
3.084520458E0,2.504066944E0,9.844831228E-1,1.247702122E0
3.094503458E0,2.787707090E0,9.624687433E-1,1.190221786E0
3.104486458E0,2.929546833E0,8.392381668E-1,1.059854150E0
3.114469458E0,2.910960197E0,6.232672334E-1,8.708472252E-1
3.124453458E0,2.788840532E0,3.459575474E-1,6.392816305E-1
3.134436458E0,2.628214598E0,5.366656184E-2,3.941064179E-1
3.144419458E0,2.299361229E0,-3.063715100E-1,1.395260394E-1
3.154403458E0,-3.263867855E0,-2.220678091E0,5.377937108E-2
3.164386458E0,-2.629358530E0,-1.163526297E0,1.460168809E-1
3.174369458E0,-7.381410003E-1,1.900622249E-2,3.952618539E-1
3.184352458E0,7.500168681E-1,1.017860413E0,4.381022751E-1
3.194336458E0,1.480695605E0,1.360714436E0,4.579185545E-1
3.204319458E0,1.687995195E0,1.080035925E0,5.113080144E-1
3.214302458E0,9.761545062E-1,-5.896767601E-2,3.949490488E-1
3.224285458E0,-4.184752703E-1,-7.505450249E-1,-2.215354443E-1
3.234269458E0,-1.217898846E0,-6.016085148E-1,-6.908020377E-1
3.244252458E0,-1.359444737E0,-4.267035127E-1,-7.664821744E-1
3.254235458E0,-1.390519261E0,-1.749707162E-1,-6.882081032E-1
3.264218458E0,-1.522412300E0,2.664735727E-2,-6.269860268E-1
3.274202458E0,-1.580507636E0,1.466791034E-1,-5.894186497E-1
3.284185458E0,-1.488659501E0,2.911705077E-1,-5.773963332E-1
3.294168458E0,-1.395117640E0,4.176875055E-1,-6.279926896E-1
3.304151458E0,-1.405497551E0,5.978628397E-1,-7.285438180E-1
3.314135458E0,-1.493808508E0,8.056495786E-1,-7.929486036E-1
3.324118458E0,-1.563844323E0,9.908082485E-1,-7.900779843E-1
3.334101458E0,-1.576539993E0,1.134412766E0,-7.416771054E-1
3.344084458E0,-1.558854699E0,1.205974579E0,-6.660931110E-1
3.354068458E0,-1.515833855E0,1.196521044E0,-5.999119878E-1
3.364051458E0,-1.449317455E0,1.081992626E0,-5.558390617E-1
3.374034458E0,-1.366717219E0,8.903259635E-1,-5.355170369E-1
3.384018458E0,-1.273360968E0,7.148910165E-1,-5.265328884E-1
3.394001458E0,-1.182870865E0,6.038801670E-1,-5.507226586E-1
3.403984458E0,-1.106175780E0,5.697040558E-1,-5.679147243E-1
3.413967458E0,-1.023991346E0,5.831621289E-1,-5.472474694E-1
3.423951458E0,-8.910559416E-1,5.669157505E-1,-4.992349744E-1
3.433934458E0,-7.048122287E-1,4.867865741E-1,-4.394186437E-1
3.443917458E0,-5.032708049E-1,3.769378364E-1,-3.897403181E-1
3.453900458E0,-3.031088114E-1,2.607454658E-1,-3.439657688E-1
3.463884458E0,-1.202537939E-1,1.976761967E-1,-3.127010763E-1
3.473867458E0,5.066137761E-3,1.669096649E-1,-2.923265100E-1
3.483850458E0,9.603706002E-2,1.959706098E-1,-2.701098919E-1
3.493833458E0,1.691215336E-1,2.308956236E-1,-2.331521213E-1
3.503817458E0,2.223551869E-1,2.671670616E-1,-1.832721829E-1
3.513800458E0,2.738843560E-1,2.890618443E-1,-1.265034229E-1
3.523783458E0,3.310373724E-1,2.844303250E-1,-7.774201781E-2
3.533766458E0,3.938076198E-1,2.621371150E-1,-2.369012125E-2
3.543750458E0,4.580284059E-1,2.324953377E-1,3.635084257E-2
3.553733458E0,5.197203159E-1,2.017615438E-1,1.083222404E-1
3.563716458E0,5.580541492E-1,1.550715268E-1,1.833512038E-1
3.573699458E0,5.717840791E-1,9.273940325E-2,2.352193147E-1
3.583683458E0,5.681749582E-1,6.510777771E-2,2.660248876E-1
3.593666458E0,5.601395965E-1,7.211863995E-2,2.894643545E-1
3.603649458E0,5.701925159E-1,7.221344858E-2,3.153412342E-1
3.613632458E0,5.771477818E-1,5.508629605E-2,3.481971323E-1
3.623616458E0,5.826397538E-1,3.560447693E-2,3.924274445E-1
3.633599458E0,5.987545252E-1,5.772495642E-2,4.440959394E-1
3.643582458E0,6.293731928E-1,1.479198337E-1,4.990015328E-1
3.653566458E0,6.744650006E-1,3.262514174E-1,5.288513899E-1
3.663549458E0,7.741943002E-1,5.540955067E-1,5.905107856E-1
3.673532458E0,9.560595155E-1,7.056693435E-1,6.730235815E-1
3.683515458E0,1.232481241E0,7.658519745E-1,7.495926619E-1
3.693499458E0,1.550688386E0,7.278467417E-1,7.802669406E-1
3.703482458E0,1.801093936E0,6.120319963E-1,7.284809351E-1
3.713465458E0,1.935643792E0,4.347465038E-1,5.962758660E-1
3.723448458E0,1.949253559E0,2.350767851E-1,4.159207344E-1
3.733432458E0,1.875122905E0,7.034413517E-2,2.308265865E-1
3.743415458E0,1.759741426E0,-2.896328084E-2,1.075661704E-1
3.753398458E0,1.640049815E0,-3.367068991E-2,3.237779066E-2
3.763381458E0,1.507105350E0,2.760198712E-2,-2.735611238E-2
3.773365458E0,1.339910388E0,1.225326583E-1,-9.764739126E-2
3.783348458E0,1.135799050E0,1.789546609E-1,-1.912644356E-1
